Polychromatic Diffraction Through Focus MTF

File : C:\ZEMAX_MATLAB\Liou and Brennan IOL.zmx
Title: Lens has no title.
Date : FRI SEP 18 2015


Data for 0.5460 to 0.5460 µm.
Spatial frequency: 50.0000 cycles per mm.
Defocus Units    : Millimeters.
Modulation is relative to 1.0.

Field: 0.0000, 0.0000 deg
      Focal Shift	  Tangential	    Sagittal
        -1.026000	    0.062221	    0.062221
        -1.005480	    0.006555	    0.006555
        -0.984960	    0.039472	    0.039472
        -0.964440	    0.065155	    0.065155
        -0.943920	    0.061731	    0.061731
        -0.923400	    0.040602	    0.040602
        -0.902880	    0.009821	    0.009821
        -0.882360	    0.010888	    0.010888
        -0.861840	    0.025176	    0.025176
        -0.841320	    0.032042	    0.032042
        -0.820800	    0.033406	    0.033406
        -0.800280	    0.029730	    0.029730
        -0.779760	    0.019385	    0.019385
        -0.759240	    0.006531	    0.006531
        -0.738720	    0.010996	    0.010996
        -0.718200	    0.025084	    0.025084
        -0.697680	    0.024033	    0.024033
        -0.677160	    0.010546	    0.010546
        -0.656640	    0.008567	    0.008567
        -0.636120	    0.031054	    0.031054
        -0.615600	    0.037204	    0.037204
        -0.595080	    0.028935	    0.028935
        -0.574560	    0.011449	    0.011449
        -0.554040	    0.004634	    0.004634
        -0.533520	    0.009630	    0.009630
        -0.513000	    0.001508	    0.001508
        -0.492480	    0.022244	    0.022244
        -0.471960	    0.041403	    0.041403
        -0.451440	    0.047772	    0.047772
        -0.430920	    0.039410	    0.039410
        -0.410400	    0.023619	    0.023619
        -0.389880	    0.014125	    0.014125
        -0.369360	    0.022640	    0.022640
        -0.348840	    0.051636	    0.051636
        -0.328320	    0.091918	    0.091918
        -0.307800	    0.127036	    0.127036
        -0.287280	    0.142317	    0.142317
        -0.266760	    0.133594	    0.133594
        -0.246240	    0.110566	    0.110566
        -0.225720	    0.092459	    0.092459
        -0.205200	    0.097842	    0.097842
        -0.184680	    0.133838	    0.133838
        -0.164160	    0.190656	    0.190656
        -0.143640	    0.244888	    0.244888
        -0.123120	    0.270535	    0.270535
        -0.102600	    0.252592	    0.252592
        -0.082080	    0.196319	    0.196319
        -0.061560	    0.127093	    0.127093
        -0.041040	    0.080160	    0.080160
        -0.020520	    0.084571	    0.084571
         0.000000	    0.148616	    0.148616
         0.020520	    0.253745	    0.253745
         0.041040	    0.360217	    0.360217
         0.061560	    0.422639	    0.422639
         0.082080	    0.407930	    0.407930
         0.102600	    0.312636	    0.312636
         0.123120	    0.151684	    0.151684
         0.143640	    0.049715	    0.049715
         0.164160	    0.129255	    0.129255
         0.184680	    0.197146	    0.197146
         0.205200	    0.171184	    0.171184
         0.225720	    0.060858	    0.060858
         0.246240	    0.043725	    0.043725
         0.266760	    0.140384	    0.140384
         0.287280	    0.189987	    0.189987
         0.307800	    0.180610	    0.180610
         0.328320	    0.118880	    0.118880
         0.348840	    0.041151	    0.041151
         0.369360	    0.035565	    0.035565
         0.389880	    0.100279	    0.100279
         0.410400	    0.113315	    0.113315
         0.430920	    0.096915	    0.096915
         0.451440	    0.057320	    0.057320
         0.471960	    0.015917	    0.015917
         0.492480	    0.022556	    0.022556
         0.513000	    0.046194	    0.046194
         0.533520	    0.054680	    0.054680
         0.554040	    0.050984	    0.050984
         0.574560	    0.039096	    0.039096
         0.595080	    0.023464	    0.023464
         0.615600	    0.003467	    0.003467
         0.636120	    0.009962	    0.009962
         0.656640	    0.022820	    0.022820
         0.677160	    0.027440	    0.027440
         0.697680	    0.024643	    0.024643
         0.718200	    0.012277	    0.012277
         0.738720	    0.005735	    0.005735
         0.759240	    0.014459	    0.014459
         0.779760	    0.022647	    0.022647
         0.800280	    0.019820	    0.019820
         0.820800	    0.007398	    0.007398
         0.841320	    0.007693	    0.007693
         0.861840	    0.027427	    0.027427
         0.882360	    0.036479	    0.036479
         0.902880	    0.036790	    0.036790
         0.923400	    0.028467	    0.028467
         0.943920	    0.016968	    0.016968
         0.964440	    0.008912	    0.008912
         0.984960	    0.009629	    0.009629
         1.005480	    0.020676	    0.020676
         1.026000	    0.039049	    0.039049
